,Date,Obesity
0,20190201,2282
1,20171217,1788
2,20180601,1997
3,20180401,2184
4,20170309,1978
5,20171017,1943
6,20190401,1933
7,20170906,2085
8,20180201,2156
9,20190601,2377
10,20180111,1766
11,20180501,2197
12,20190101,1968
13,20171102,1909
14,20190301,2249
15,20180701,2226
16,20190701,2397
17,20170811,2069
18,20180314,2016
19,20170218,1977
20,20190501,2369
21,20191001,2164
22,20200401,2060
23,20190901,2389
24,20170613,2032
25,20200601,1955
26,20191201,2190
27,20200201,2133
28,20181201,2100
29,20181001,2267
30,20170403,1985
31,20180901,2215
32,20200501,2347
33,20191101,2075
34,20190801,2144
35,20181101,2288
36,20200101,2308
37,20170502,2014
38,20180801,2120
39,20200301,1960
40,20170105,1954
41,20170703,2042
